year,venue,location,,
2025,"Aliens, Angels, and Dolphins @ Rockin' Rollers","Santa Fe, NM",,
2025,Videosync @ TECH25,"Pittsburgh, PA",,
2024,Glue Factory,"Somerville, MA",,
2023,Rabbit Hole,"Boston, MA",,
2023,Arrow of Time @ Museum of Science,"Boston, MA",,
2022,Phase Space,NYC,,
2022,Phase Space,NYC,,
2022,New England Synth Fest @ Museum of Science,"Boston, MA",,
2022,New England Synth Fest @ Museum of Science,"Boston, MA",,
2019,TÉLÉPRESENCE III @ La Lumiere,"Montreal, Canada",,
2019,Moon Villain,"Boston, MA",,
2019,Harlem Stage,"Harlem, NY",,
2019,Studio550,"Cambridge, MA",,
2019,Moon Villain,"Boston, MA",,
2019,Maya: World of Illusion @ Vidicon,"Phoenix, AZ",,
2019,Resonant Frequencies 021 @ Vidicon,"Phoenix, AZ",,
2019,Moon Villain,"Boston, MA",,
2019,Moon Villain,"Boston, MA",,
2019,Studio550,"Cambridge, MA",,
2019,New England Synth Fest @ Microsoft,"Burlington, MA",,
2019,MIMO @ Dorchester Art Project,"Dorchester, MA",,
2019,Sunset Hang After Party @ Bit Bar,"Salem, MA",,
2019,The Lilypad,"Cambridge, MA",,
2019,Studio550,"Cambridge, MA",,
2019,The Lilypad,"Cambridge, MA",,
2019,Dorchester Art Project,"Dorchester, MA",,
2019,The Lilypad,"Cambridge, MA",,
2019,Moon Villain,"Boston, MA",,
2019,Moon Villain,"Boston, MA",,
2019,Moon Villain,"Boston, MA",,
2019,The Lilypad,"Cambridge, MA",,
2018,Moon Villain,"Boston, MA",,
2018,The Lilypad,"Cambridge, MA",,
2018,The Lilypad,"Cambridge, MA",,
2018,Studio550,"Cambridge, MA",,
2018,Jeanie Johnson Pub,"Jamaica Plain, MA",,
2018,Orange Milk Showcase @ Moon Villain,"Boston, MA",,
2018,The Lilypad,"Cambridge, MA",,
2018,Moon Villain,"Boston, MA",,
2018,TÉLÉPRESENCE II @ H0L0,"Brooklyn, NY",,
2018,Great Scott,"Allston, MA",,
2018,XFest 2018 @ Dorchester Art Project,"Dorchester, MA",,
2018,XFest 2018 @ Dorchester Art Project,"Dorchester, MA",,
2018,XFest 2018 @ Dorchester Art Project,"Dorchester, MA",,
2018,Sleepership 2018 @ Moon Villain,"Boston, MA",,
2018,Peabody Essex Museum: After Dark Peabody Essex Museum,"Salem, MA",,
2018,Berklee College of Music,"Boston, MA",,
2018,Berklee College of Music,"Boston, MA",,
2018,Lethean EP Release Show @ Industry Lab,"Cambridge, MA",,
2018,Dreamscape 13 @ Hope Central Church,"Jamaica Plain, MA",,
2018,Brk_fast_II @ Studio550,"Cambridge, MA",,
2017,Moon Villain,"Boston, MA",,
2017,Studio550,"Cambridge, MA",,
2017,The Space,"Jamaica Plain, MA",,
2017,Hasslefest 9 @ ONCE,"Somerville, MA",,
2017,Mass MoCA Annual Benefit,"Manhattan, NYC",,
2017,Studio550,"Cambridge, MA",,
2017,Industry Lab,"Cambridge, MA",,
2017,The Sprinkler Factory,"Worcester, MA",,
2017,Moon Villain,"Boston, MA",,
2017,Electric Haze,"Worcester, MA",,
2017,Knobcon 6,"Schaumberg, IL",,
2017,Knobcon 6,"Schaumberg, IL",,
2017,MassMoCA,"North Adams, MA",,
2017,Sunset Hang @ Salem Willows,"Salem, MA",,
2017,Gulu Gulu Cafe,"Salem, MA",,
2017,Moon Villain,"Boston, MA",,
2017,Moon Villain,"Boston, MA",,
2017,Motherlode @ Some Ting Nice,"Somerville, MA",,
2017,Motherlode @ Some Ting Nice,"Somerville, MA",,
2017,Washington St. Art Center,"Somerville, MA",,
2017,The Sounds of Dreaming @ MOOGFEST,"Ashville,, NC",,
2017,TÉLÉPRESENCE I @ La Lumiere,"Montreal, CA",,
2017,Studio550,"Cambridge, MA",,
2017,Flux Factory,"Brooknly, NY",,
2017,Dreamscape 10 @ Hope Central Church,"Jamaica Plain, MA",,
2017,Sleepership 2017 @ SCATV,"Somerville, MA",,
2017,Moon Villain,"Boston, MA",,
2017,Bit Bar,"Salem, MA",,
2017,Studio550,"Cambridge, MA",,
2017,Moon Villain,"Boston, MA",,
2016,Moon Villain,"Boston, MA",,
2016,Great Scott,"Allston, MA",,
2016,Squelcher & Prone tour @ Studio550,"Cambridge, MA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ Muchmore's,"Brooklynm, NY",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ Modular Synth Playground,"Pittsburgh, PA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ Urraro Gallery,"Erie, PA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ Trumbullplex,"Detroit, MI",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ Handlebar,"Toronto, CA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ The House of Targ,"Ottawa, CA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ The White Wall Studio,"Montreal, CA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ O'Brien's,"Allston, MA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ Moon Villain,"Boston, MA",,Squelcher & Prone tour
2016,Squelcher & Prone tour @ HAL,"Allston, MA",,Squelcher & Prone tour
2016,Long House Reserve Benefit @ Long House Reserve,"East Hampton, NY",,Long House Reserve Benefit
2016,POOL series @ Industry Lab,"Cambridge, MA",,POOL series
2016,POOL series @ Industry Lab,"Cambridge, MA",,POOL series
2016,POOL series @ Industry Lab,"Cambridge, MA",,POOL series
2016,POOL series @ Industry Lab,"Cambridge, MA",,POOL series
2016,POOL series @ Harlem Stage,"Harlem, NY",,Harlem Stage Gala @ Harlem Stage
2016,POOL series @ National Sawdust,"Brooklyn, NY",,Design for Living (Nona Hendryx)
2015,POOL series @ Great Scott,"Allston, MA",,SCANNERS series
2015,POOL series @ Deep Thoughts,"Jamaica Plain, MA",,SCANNERS series