year,artist,song,link
2022,Violet Nox,Magnetar,https://www.youtube.com/watch?v=KrfbBau2F78
2020,Doug Belheimer,No Time,https://www.youtube.com/watch?v=b3Na_s1LKlA
2019,Over The Top,Escape,https://vimeo.com/362392329
2019,Seth Graham,European Tour,https://vimeo.com/338924323
2018,Substrates,Enter,https://vimeo.com/250197920
2017,June Bloom,Cave Dweller,https://player.vimeo.com/video/247943177
2017,Bastian Void,Garden Level,https://player.vimeo.com/video/239573980
2017,Goto80,Stocko,https://player.vimeo.com/video/239550605
2017,A Campbell Payne,Americans,https://player.vimeo.com/video/239559938
2017,Small Colin,The Pumper,https://player.vimeo.com/video/229163377
2017,Squelcher,Vertical Zoo,https://player.vimeo.com/video/221969945
2017,Safetalk,Universal,https://www.youtube.com/watch?v=udB51Q9VLy4
2017,Loonball,El Sid,https://player.vimeo.com/video/215715080
2017,John Frum,Memory Palace,https://www.youtube.com/embed/1WuZAHo8cxI
2017,Elani Arapoglou,Μια Εικόνα (An Image),https://player.vimeo.com/video/207899904
2017,Olodwan Vibration,Zippers Under Zippers,https://player.vimeo.com/video/202853421
2017,Sleepership,Pilot,https://player.vimeo.com/video/200297514
2017,zubra/guraffe,1,https://player.vimeo.com/video/179240769
2016,zubra/guraffe,2,https://player.vimeo.com/video/177952872
2016,zubra/guraffe,3,https://player.vimeo.com/video/177963341
2016,zubra/guraffe,4,https://player.vimeo.com/video/177970944
2016,zubra/guraffe,5,https://player.vimeo.com/video/179240772
2016,zubra/guraffe,6,https://player.vimeo.com/video/179240771
2016,zubra/guraffe,theGem,https://player.vimeo.com/video/177843310
2016,geegbbeeb,bone$and¢hlorine,https://player.vimeo.com/video/157260880
2016,geegbbeeb,samDoe,https://player.vimeo.com/video/157878470
2016,geegbbeeb,buildingCommunications,https://player.vimeo.com/video/157256311
2016,cskonopka,westpeabodySpeedway,https://player.vimeo.com/video/157998439
2016,geegbbeeb,weylandCowboy,https://player.vimeo.com/video/165728514
2016,geegbbeeb,hatchingSpaceAnxiety,https://player.vimeo.com/video/167048782
2016,Gyrowyre,Thneyres,https://player.vimeo.com/video/171492101
2016,Proud Father,Jikan dake no itami de,https://player.vimeo.com/video/167779895
2016,zubra/guraffe,drawingfreqsSummonTheDemon,https://player.vimeo.com/video/167044030
2016,zubra/guraffe,blindlyVoidJumping,https://player.vimeo.com/video/167046781
2016,Radio Skotvoid,Skweeeky Wheel,https://player.vimeo.com/video/161212323
2015,Disco Nihilist,Melancholy,https://player.vimeo.com/video/142019766