year,title,source,url
2023,Inscribing the first 1:1 WebGL + HTML5 Bitcoin Ordinal,Medium,https://medium.com/@vondas-network/inscribing-the-first-webgl-html5-bitcoin-ordinal-a70534af4da1
2023,Making a GET request with Axios hosted on the Bitcoin blockchain,Medium,https://medium.com/@vondas-network/making-a-get-request-with-axios-hosted-on-the-bitcoin-blockchain-5068f34b5b4e
2023,Inscribing a JavaScript file onto the Bitcoin blockchain with LooksOrdinal,Medium,https://medium.com/@vondas-network/inscribing-a-javascript-file-onto-the-bitcoin-blockchain-with-looksordinal-1baf0e8f7d31
2023,Foundation of an Idea,Medium,https://medium.com/@vondas-network/formation-of-an-idea-c0776313dac0
2021,Can Cars Gesture? A Case for Expressive Behavior Within Autonomous Vehicle and Pedestrian Interactions,IEEE,https://ieeexplore.ieee.org/document/9662966
2020,"Exquisite paintings, with analog signal and modular gear as brush",Create Digital Music,https://cdm.link/painting-with-eurorack/
2020,"scopingVoices: Learn how to download live and replay .m3u8 URLs from Periscope with Go, the Twitter API and FFmpeg",Medium,https://medium.com/@cskonopka/scopingvoices-learn-how-to-download-live-and-replay-m3u8-a64d0a3eef67
2020,Create an RGBA histogram of a cat using Imagemagick,dev.to,https://dev.to/cskonopka/create-an-rgba-histogram-of-a-cat-using-imagemagick-46mp
2020,Configuring environmental variables for Go with ~/.bash_profile,dev.to,https://dev.to/cskonopka/configuring-environmental-variables-within-the-bashprofile-using-bash-go-ddn
2020,Generate GIFs from a directory of videos using FFmpeg,dev.to,https://dev.to/cskonopka/generate-gifs-from-a-directory-of-videos-using-ffmpeg-23d8
2020,Get daily earthquake data from the USGS using Go,dev.to,https://dev.to/cskonopka/get-daily-earthquake-data-from-the-usgs-using-go-45gl
2019,Adafruit FONA 3G M2M Commands Quickstart,hackster.io,https://www.hackster.io/cskonopka/adafruit-fona-3g-m2m-commands-quickstart-21982d
2019,Raspberry Pi SixFab IoT Gateway Quickstart,hackster.io,https://www.hackster.io/cskonopka/raspberry-pi-sixfab-iot-gateway-quickstart-f4e9fa
2019,"Cellular IoT Gateway w/DragonBoard 410c, Twilio SIM & modem",hackster.io,https://www.hackster.io/cskonopka/cellular-iot-gateway-w-dragonboard-410c-twilio-sim-modem-e085d6
2019,"""Smart Container App"" with NB-IoT, Node and Pusher",hackster.io,https://www.hackster.io/cskonopka/smart-container-app-with-nb-iot-node-and-pusher-56e77c
2019,Adafruit Feather 32u4 FONA M2M Commands Quickstart,hackster.io,https://www.hackster.io/cskonopka/adafruit-feather-32u4-fona-m2m-commands-quickstart-ac01e2
2019,Using Twilio M2M Commands with the Wio LTE from Seeed Studio,hackster.io,https://www.hackster.io/cskonopka/using-twilio-m2m-commands-with-the-wio-lte-from-seeed-studio-b63a72
2019,Pioneer NB-IoT with Twilioâ€™s Alfa Developer Kit,hackster.io,https://www.hackster.io/cskonopka/using-twilio-m2m-commands-with-the-wio-lte-from-seeed-studio-b63a72
2019,Using Twilio M2M Commands with an Arduino MKR GSM 1400,hackster.io,https://www.hackster.io/cskonopka/using-twilio-m2m-commands-with-an-arduino-mkr-gsm-1400-3e8d1f
2018,"How to Play a MP3 File with Programmable Wireless, Go and the Arduino MKR GSM 1400",Twilio,https://www.twilio.com/en-us/blog/developers/tutorials/integrations/how-to-play-a-mp3-file-with-programmable-wireless-go-and-the-arduino-mkr-gsm-1400
2018,Artist Review,Boston Voyager,https://bostonvoyager.com/interview/check-christopher-konopkas-artwork/
2017,[Premiere] Zone Out to Raw Analog Signals in this Glitchy Music Video,VICE,https://www.vice.com/en/article/premiere-safetalk-raw-analog-signals-music-video/
2017,Went There - [Charles Allin (Jeremy Harris) Live @ Moon Villain] - Boston Hassle,Boston Hassle,https://bostonhassle.com/went-there-charles-allin-jeremyharris-live-at-moon-villain/
2016,"Property Zine [Winter 2016 | Vol. 1, Nbr. 2]",Physical World,Physical World
2012,wiiAirDrum - Featured Project,cycling74,https://cycling74.com/projects/_-wiiairdrum-_